"DisplayName","DisplayVersion","Publisher","InstallLocation","InstallDate"
"7-Zip 26.01 (x64)","26.01","Igor Pavlov","C:\Program Files\7-Zip\",
"Aegisub 3.4.2","3.4.2","Aegisub Team","C:\Program Files\Aegisub\","20250918"
"Alibaba Cloud Client 2.3.0","2.3.0","Alibaba Cloud Computing Co., Ltd.","C:\Program Files\Alibaba Cloud Client\","20260324"
"Binance 1.54.19","1.54.19","BinanceTech",,
"CC Switch","3.14.1","ccswitch","C:\Users\green\AppData\Local\Programs\CC Switch\","20260430"
"Clash Verge","2.4.7","Clash Verge Rev","""C:\Program Files\Clash Verge""",
"Cloud Foundry CLI version VERSION","VERSION","Cloud Foundry Foundation","C:\Program Files\Cloud Foundry\","20250907"
"Docker Desktop","4.69.0","Docker Inc.","C:\Program Files\Docker\Docker",
"Everything 1.4.1.1032 (x64)","1.4.1.1032","voidtools","C:\Program Files\Everything",
"Git","2.53.0.2","The Git Development Community","C:\Program Files\Git\","20260320"
"Intel® Graphics Software","25.32.1758.2","Intel Corporation","","20250928"
"Intel® Graphics Software","25.32.1758.2","Intel Corporation",,"20250928"
"Kraken Desktop","1.9.1","Payward Inc.","","20251012"
"Microsoft .NET 8.0 Templates 8.0.420 (x64)","32.14.61841","Microsoft Corporation","","20260504"
"Microsoft .NET AppHost Pack - 8.0.26 (x64)","64.104.50421","Microsoft Corporation","","20260504"
"Microsoft .NET AppHost Pack - 8.0.26 (x64_arm64)","64.104.50421","Microsoft Corporation","","20260504"
"Microsoft .NET AppHost Pack - 8.0.26 (x64_x86)","64.104.50421","Microsoft Corporation","","20260504"
"Microsoft .NET Host - 6.0.28 (x64)","48.112.10439","Microsoft Corporation","","20250914"
"Microsoft .NET Host - 8.0.26 (x64)","64.104.50421","Microsoft Corporation","","20260504"
"Microsoft .NET Host - 9.0.5 (x64)","72.20.32761","Microsoft Corporation","","20250928"
"Microsoft .NET Host FX Resolver - 6.0.28 (x64)","48.112.10439","Microsoft Corporation","","20250914"
"Microsoft .NET Host FX Resolver - 8.0.17 (x64)","64.68.34370","Microsoft Corporation","","20250928"
"Microsoft .NET Host FX Resolver - 8.0.19 (x64)","64.76.37566","Microsoft Corporation","","20250906"
"Microsoft .NET Host FX Resolver - 8.0.26 (x64)","64.104.50421","Microsoft Corporation","","20260504"
"Microsoft .NET Host FX Resolver - 9.0.5 (x64)","72.20.32761","Microsoft Corporation","","20250928"
"Microsoft .NET Runtime - 6.0.28 (x64)","48.112.10439","Microsoft Corporation","","20250914"
"Microsoft .NET Runtime - 8.0.17 (x64)","64.68.34370","Microsoft Corporation","","20250928"
"Microsoft .NET Runtime - 8.0.19 (x64)","64.76.37566","Microsoft Corporation","","20250906"
"Microsoft .NET Runtime - 8.0.26 (x64)","64.104.50421","Microsoft Corporation","","20260504"
"Microsoft .NET Runtime - 9.0.5 (x64)","72.20.32761","Microsoft Corporation","","20250928"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","","20260504"
"Microsoft .NET Targeting Pack - 8.0.26 (x64)","64.104.50421","Microsoft Corporation","","20260504"
"Microsoft .NET Toolset 8.0.420 (x64)","32.15.61841","Microsoft Corporation","","20260504"
"Microsoft ASP.NET Core 8.0.26 Shared Framework (x64)","8.0.26.26169","Microsoft Corporation","","20260504"
"Microsoft ASP.NET Core 8.0.26 Targeting Pack (x64)","8.0.26.26169","Microsoft Corporation","","20260504"
"Microsoft Office Home and Student 2019 - en-us","16.0.19127.20302","Microsoft Corporation","C:\Program Files\Microsoft Office",
"Microsoft Office Home and Student 2019 - zh-cn","16.0.19127.20302","Microsoft Corporation","C:\Program Files\Microsoft Office",
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","","20250903"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","","20250922"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","","20250922"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","","20250922"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","20260310"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","20260310"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250905"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250905"
"Microsoft Visual Studio Installer","4.4.22.17440","Microsoft Corporation","""C:\Program Files (x86)\Microsoft Visual Studio\Installer""","20250903"
"Microsoft Windows Desktop Runtime - 6.0.28 (x64)","48.112.10435","Microsoft Corporation","","20250914"
"Microsoft Windows Desktop Runtime - 8.0.17 (x64)","64.68.34385","Microsoft Corporation","","20250928"
"Microsoft Windows Desktop Runtime - 8.0.19 (x64)","64.76.37602","Microsoft Corporation","","20250906"
"Microsoft Windows Desktop Runtime - 8.0.26 (x64)","64.104.50433","Microsoft Corporation","","20260504"
"Microsoft Windows Desktop Runtime - 9.0.5 (x64)","72.20.32770","Microsoft Corporation","","20250928"
"Microsoft Windows Desktop Targeting Pack - 8.0.26 (x64)","64.104.50433","Microsoft Corporation","","20260504"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.43","Microsoft Corporation","","20260504"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.0.5426","Microsoft Corporation","","20260504"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation","","20260504"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation","","20260504"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.0.8478","Microsoft Corporation","","20260504"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","8.0.3","Microsoft Corporation","","20260504"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation","","20260504"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.104.50388","Microsoft Corporation","","20260504"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.104.50388","Microsoft Corporation","","20260504"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.104.50388","Microsoft Corporation","","20260504"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.104.50421","Microsoft Corporation","","20260504"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.104.50421","Microsoft Corporation","","20260504"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.104.50421","Microsoft Corporation","","20260504"
"Mozilla Firefox (x64 zh-CN)","150.0.2","Mozilla","C:\Program Files\Mozilla Firefox",
"Mozilla Maintenance Service","150.0.1","Mozilla",,
"Node.js","24.15.0","Node.js Foundation","","20260504"
"Notepad++ (64-bit x64)","8.9.3","Notepad++ Team",,
"Office 16 Click-to-Run Extensibility Component","16.0.19127.20154","Microsoft Corporation","","20250908"
"Office 16 Click-to-Run Licensing Component","16.0.19029.20208","Microsoft Corporation","","20250824"
"Office 16 Click-to-Run Localization Component","16.0.19127.20154","Microsoft Corporation","","20250908"
"pgAgent_PG18 4.2.3","4.2.3-1","EnterpriseDB","C:\Program Files\PostgreSQL\18","20260310"
"PgBouncer 1.25.1","1.25.1-1","EnterpriseDB","C:\Program Files\PgBouncer","20260310"
"PostgreSQL 18 ","18.3-2","PostgreSQL Global Development Group","C:\Program Files\PostgreSQL\18","20260310"
"psqlODBC 13.02.0000","13.02.0000-1","EnterpriseDB","C:\Program Files\PostgreSQL\psqlODBC","20260310"
"Python 3.12.10 Add to Path (64-bit)","3.12.10150.0","Python Software Foundation","","20260504"
"Python 3.12.10 Core Interpreter (64-bit)","3.12.10150.0","Python Software Foundation","","20260504"
"Python 3.12.10 Development Libraries (64-bit)","3.12.10150.0","Python Software Foundation","","20260504"
"Python 3.12.10 Documentation (64-bit)","3.12.10150.0","Python Software Foundation","","20260504"
"Python 3.12.10 Executables (64-bit)","3.12.10150.0","Python Software Foundation","","20260504"
"Python 3.12.10 pip Bootstrap (64-bit)","3.12.10150.0","Python Software Foundation","","20260504"
"Python 3.12.10 Standard Library (64-bit)","3.12.10150.0","Python Software Foundation","","20260504"
"Python 3.12.10 Tcl/Tk Support (64-bit)","3.12.10150.0","Python Software Foundation","","20260504"
"Python 3.12.10 Test Suite (64-bit)","3.12.10150.0","Python Software Foundation","","20260504"
"Redis on Windows","5.0.14.1","Poradowski.com","","20260310"
"USBPcap 1.5.4.0","1.5.4.0","Tomasz Mon",,
"WezTerm version 20240203-110809-5046fc22","20240203-110809-5046fc22","Wez Furlong","C:\Program Files\WezTerm\","20260502"
"Windows Subsystem for Linux","2.6.3.0","Microsoft Corporation","","20260308"
"WinRAR 7.12 (64-位)","7.12.0","win.rar GmbH","C:\Program Files\WinRAR",
"国元领航金融终端","8.76","(通达信)深圳市财富趋势科技股份有限公司","c:\zd_gyzq_gm\","20260410"
